id,name,registrationrule,state_id,display_name,created,modified,guid,type
85,JP Morgan,1,,JP Morgan,2014-12-11 17:53:52.299451-05,2014-12-23 12:51:30.286603-05,dee78451-06a0-411a-b9bf-ca736656b725,2
86,Just Energy,1,,Just Energy,2014-12-11 17:53:52.302253-05,2014-12-23 12:51:30.290581-05,0237e98d-b4ec-4c56-aef6-09b604ddfce0,2
103,Liberty Power,1,,Liberty Power,2014-12-11 17:53:52.356167-05,2014-12-23 12:51:30.29459-05,e0e77240-ede4-4b63-9d33-1488e504e579,2
88,Major Energy Electric Services,1,,Major Energy Electric Services,2014-12-11 17:53:52.308012-05,2014-12-23 12:51:30.302642-05,143afaa3-b21d-4189-8479-b71138529ed0,2
89,Marin Energy Authority,1,,Marin Energy Authority,2014-12-11 17:53:52.310864-05,2014-12-23 12:51:30.306853-05,1b96378c-6c51-4ae4-961c-6e1b0e857a46,2
247,Maryland Energy,1,,Maryland Energy,2014-12-11 17:53:52.789696-05,2014-12-23 12:51:30.31074-05,08e39f5a-1c17-4079-9c33-9ea94d13a917,2
90,"MC Squared Energy Services, LLC",1,,"MC Squared Energy Services, LLC",2014-12-11 17:53:52.313703-05,2014-12-23 12:51:30.314519-05,55ee8bb3-a8ee-465f-940c-f5bf0e7e4a4c,2
126,MECO,1,,MECO,2014-12-11 17:53:52.436713-05,2014-12-23 12:51:30.318379-05,384b07e2-3d22-4799-85df-ca098a8918eb,1
91,"Mega Energy, LP",1,,"Mega Energy, LP",2014-12-11 17:53:52.316557-05,2014-12-23 12:51:30.322188-05,19c8eb72-a7bb-43d1-8d08-de0852abeab7,2
148,METED,1,,METED,2014-12-11 17:53:52.499337-05,2014-12-23 12:51:30.326074-05,b8299427-d235-4e0a-b4e0-0caa9f5ad10d,1
21,MIchigan Gas Utilities ,1,22,Michigan Gas Utilities,2014-12-08 13:21:50.144621-05,2014-12-23 12:51:30.329865-05,9d8b66f6-9b38-44d5-90ae-9e3a2a54de7c,1
38,MP2,1,,MP2,2014-12-11 17:53:52.164477-05,2014-12-23 12:51:30.333684-05,d3bb1e68-92db-4cb8-aad8-002032f5be02,2
92,"MxEnergy Electric, Inc.",1,,"MxEnergy Electric, Inc.",2014-12-11 17:53:52.319449-05,2014-12-23 12:51:30.33749-05,cb854132-d7a5-48e5-83f3-fe56eb509c40,2
163,NA Power,1,,NA Power,2014-12-11 17:53:52.553051-05,2014-12-23 12:51:30.377172-05,ce2a2c38-e7d1-4442-8f8a-7e2da996e35d,2
248,National Grid,1,32,National Grid,2014-12-12 09:46:33.017708-05,2014-12-23 12:51:30.38086-05,77132cf8-316e-4469-91af-172d187cd605,1
