Clear Energy,049aa87e-d429-4073-86f5-d5e838c8aa31,4
Bollinger Energy,3fa56699-c8e4-4d6c-a0b9-4bcd1e089b23,4
Smart One Energy,15fec7f3-ba96-4159-a8ab-a67f327f01e5,4
SMECO,752d3e12-e63f-4c74-ae88-6cfb8d8287cc,5
APG&E,3f4c9450-eb54-4f0d-b224-9ac220b9d224,4
REC ,b1491f64-dd4c-4ddf-a9a5-b9fbf78b7a6c,5
Columbia Gas of Virginia,10f56786-94b3-4397-8773-28804811ed32,5
Delmarva,7503c026-cc0c-4fad-b848-f122257162fd,5
NRG Energy,ccaa8361-644e-406c-9bef-e50ff6cb6c4a,4
Source Power and Gas,ae161d0c-0a22-409b-8296-cefc7e4f20d1,4
Crius Energy,9a1b937a-e3b6-4b36-927b-643fbb729543,4
Tiger Energy Services,5c5f9563-c27f-44cd-817f-78ffd57c361d,4
ProEnergy Services,2f10bcdd-4804-4523-befe-978f665b8111,4
Global Energy Services,44731f83-a708-4cf7-ba66-a03c20cd329b,4
World Energy,e60712ef-086a-471b-ae5a-92a5dc0bc033,4
Ping Energy,8462ef2e-8cfe-4ac4-9207-c04acc9ad8f3,4
IGS Energy,39b6a05e-4d7c-4c80-b6ce-18a7d8addb00,4
GDF Suez,3e5fbb8f-6b16-41d7-b2d1-f6f902ac23c2,4
MP2,cb854132-d7a5-48e5-83f3-fe56eb509c40,4
Cincinnati Bell Energy LLC,676f4e85-0742-411f-bcab-1a8950167f97,4
"Cirro Group, Inc.",783ca75e-f5e0-439d-99b5-aee2285d168a,4
CMS Energy Resource Management,ef1a844b-9f0c-4ff4-9478-3dcf27c0de1c,4
"Columbia Utilities Power, LLC",bcba339b-6045-4dd6-bae7-859246bf8692,4
"Commerce Energy, Inc.",cb06bb8b-692a-4765-be98-61f2c00f9eec,4
"Competitive Energy Services, L",cb4046f7-90a4-447a-ab19-7515c0322d6b,4
ConocoPhillips Company,91f09f4a-7d11-41c9-a368-aa586d5d53eb,4
Consolidated Edison Sol Inc,83bded29-3885-4d44-a6f0-9217f52b7db0,4
"CPL Retail Energy, LP",9ad7cc5f-0c49-4710-b47f-54a8fe476d05,4
"Devonshire Energy, LLC",84010145-caab-4f49-ae34-fdd9453285c8,4
Discount Power,20e1f99f-06a3-4386-bbc1-72ac301193b0,4
Dominion Retail Inc,8be5e3ef-f596-47a0-bfd4-f636be29cf83,4
dPi Energy LLC,071118ed-26ef-4d50-8aad-8ce5a0afc201,4
DPL Energy Resources,e7fb0dbc-f738-41dc-86ea-708e0941b7b7,4
"Duke Energy Retail Sales, LLC",b94bbfae-9d36-4187-9c2b-96a0180e794d,4
"Duquesne Light Energy, LLC",8eaa90b3-9385-497a-bbbc-9993031afb05,4
EDF Industrial Power Services,66370f61-cd7c-4ae7-9b27-72341afd7d08,4
"Electricity Maine, LLC",5e50129e-7339-457c-8390-bc9bbd76707a,4
ENH Power,b48c6a57-5bcc-4f7b-a11a-35da8f9842e9,4
Empire Natural Gas Corporation,104f3424-ae9c-4bc0-aa29-44474d5a3e8a,4
Energetix,924821f6-6e02-4caf-8baf-4dae3187c519,4
"Energy Coop of New York, Inc",783a95a0-b29f-4beb-b0ed-9436df353837,4
"Energy Services Providers, Inc",a44460e0-7f4b-47a9-ade7-b0e337a9a0e5,4
"EnergyMark, LLC",4d847432-3f98-421e-8ba3-9e5c45b7ddb6,4
"E-Now, LP",ac273148-e799-43a0-9937-1084b992bac0,4
"Entergy Solutions, Ltd",d8650dbd-a0ae-4cf5-9f08-3cf810c6248e,4
En-Touch Energy,3f617457-c776-4a18-be6c-429d60dd6718,4
Entrust Energy,af1fc3ef-4d73-42c5-8c83-09c89df614fe,4
Epcot Electric,f7c7c8ac-07c8-4beb-9d84-6afd5dd0dcf8,4
"Everything Energy, LLC",f6c99258-2bec-4e04-acad-00f69868e34b,4
FairPoint Energy LLC,c0f3bf35-dafa-441a-abe3-8142e289eedf,4
First Choice Power,22e1b779-b706-439b-88cb-c7d3efc211f0,4
First Energy Solutions Corp.,91591d30-0756-4692-9d31-94c57e645170,4
Freedom Energy,25eb29e7-e2da-4a3e-b738-e68f13d2f3b4,4
"Frontier Utilities, Inc.",4508aeec-ec1f-47a5-9c07-ed308b62c013,4
General Power & Light,20926765-8f12-43ec-ba25-723e37360798,4
GEXA Corp.,76a28922-75ae-4bbe-ab94-0bbef3bef4c3,4
Glacial Energy Holdings,a33763cb-bb6d-4e38-8ab0-88dc867d0b07,4
Green Mountain Energy Company,89046807-c40b-41a7-9f25-6d8b70bdc176,4
Harvard Dedicated Energy Limit,8538b4ea-8516-4bfa-990b-8abcbf09c447,4
Hino Electric Holding Company,9e2127aa-6d77-4e2b-a408-9761baf2bb55,4
Hinson Power Company LLC,a7c844f8-1050-4c8a-a46b-f500cdcc601e,4
"HOP Energy, LLC",75a02917-2293-487e-9ff3-723a6bdbb2a9,4
"IDT Energy, Inc.",f9509b09-0017-4f25-bab0-a12ad045cc2d,4
Independence Energy Group LLC,14bda6d7-ec84-4655-a553-8353c9ad8ec5,4
"Integrys Energy Services, Inc.",bed0821c-7f7c-46b0-803f-48d56455d76d,4
JP Morgan,dee78451-06a0-411a-b9bf-ca736656b725,4
Just Energy,0237e98d-b4ec-4c56-aef6-09b604ddfce0,4
"Linde Energy Services, Inc.",DA2A7498-BC77-46CF-8018BF54E10933D,4
Major Energy Electric Services,143afaa3-b21d-4189-8479-b71138529ed0,4
Marin Energy Authority,1b96378c-6c51-4ae4-961c-6e1b0e857a46,4
"MC Squared Energy Services, LLC",55ee8bb3-a8ee-465f-940c-f5bf0e7e4a4c,4
"Mega Energy, LP",19c8eb72-a7bb-43d1-8d08-de0852abeab7,4
"MxEnergy Electric, Inc.",ce2a2c38-e7d1-4442-8f8a-7e2da996e35d,4
NEPM II,155fcdc3-3aa9-4437-ac71-53af9986f6b8,4
New Brunswick Power Generation Corp.,abcd25fc-30b6-4d34-a0cd-600d41e2278f,4
New York Industrial Energy Buyers,d3b99b5c-76d3-4dfc-856f-6ab69cf9b7ef,4
Noble Americas Energy Solutions LLC,b236e640-112f-47c9-b413-79123f0028d8,4
NOCO Electric,b1cc77dc-702d-4881-8d39-cd88578b0cc4,4
NextEra Energy Services,3d7ba955-7430-4292-b427-2df8cc6c05dd,4
Hudson Energy Services,f20ed009-e22f-4f8f-a71a-754c353114d6,4
Energy Plus,9a520406-44c8-41a9-a273-1a82610e1a2f,4
Champion Energy Services,75fa84b4-a58d-42f3-b75d-3577cb899dd3,4
PGW,319f8ee5-768a-43ab-b03c-ac6b5a277918,5
UGI EnergyLink,a8efdf35-faf8-4814-a998-999f363f26e4,4
Liberty Power,2a966a34-2598-4e30-b546-ba600c43271c,4
Gateway,b38eac8b-a642-4dac-9ed9-37b5b736f1bd,4
AEP,92d687e5-87ca-4208-9b51-8cd6022d7371,4
XOOM Energy,520a2dfc-4eae-4d67-837d-7466c6a286fa,4
Ambit Energy,40e8ed32-e7ef-40e6-b1b3-818c2c5cc477,4
Public Power & 5 of Maryland,5c5d77aa-05c3-422f-8f86-742eac5d5404,4
energy.me,4e1bc935-b43a-44ab-97dd-f06e2860267a,4
PotomacEdison,f1d72f87-c1bc-4965-9782-3b640ed03d6c,5
Nordic Energy,4dcf378a-311f-4686-8cd9-bf8ef2b4b9c0,4
TXU Energy,58054e15-c45a-496b-8d93-72f471c3073c,4
CenterPoint Energy,1bb6948e-45b1-41e3-acf7-fd9482e88bc6,5
Infinite Energy,18b27239-0c8d-48ea-8099-91f766a380e6,4
Direct Energy,e2830d1f-a59f-49d5-b445-35ccc9ddf036,4
Pepco (MD),5f4bbda1-fdfa-4832-93cc-32d27c3edd9f,5
Pepco (DC),423a74f2-890f-4645-9103-66e05228726a,5
CLP,2523a38c-2d1a-4929-8dbf-7a637207e050,5
UI,29c76a30-ab24-4155-8078-378f331afc11,5
DELM,a28837fd-c23b-4856-a218-e45d9df0f1c1,5
Ameren,3e97a797-d11c-47ae-a8b4-ea299d431465,5
CIPS,b3bd1053-532b-4f46-8793-f55bd31a0d15,5
IP,82fa47b6-ec92-488b-ae17-ef8019ca9fb0,5
COMED,15f0df83-ab92-40ff-9c3b-4535efaf0f18,5
BECO,97d3e93a-9ed1-4d31-8219-c97b3c07ccd5,5
CELCO,87e63db1-6ce4-4268-8310-2f1fd2d3725b,5
COMELEC,54D2B1B5-798B-4E58-A92CBCABD416B409,5
FGE,867d9d8f-8db0-4850-bc8a-f860e2bb5391,5
MECO,384b07e2-3d22-4799-85df-ca098a8918eb,5
WMECO,e6c0327e-aafa-4ed4-bd10-90cadce0fa67,5
APS,bd43f95a-a4be-4bcb-9eac-1d7331b0ac6d,5
CMP,5a8ed6f0-e9b8-4564-bfd9-948bc12b2300,5
PSEG,d12548c2-974d-446c-8dda-66fade2cfacf,5
RECO,0f1c198e-d9bf-4121-9948-554d810dded0,5
AECO,b858ff52-6c6f-4306-ade4-3b7e7ea7aa24,5
JCPL,55fd1cb1-68e7-4549-ab0d-a051d2522999,5
CENHUD,56cea439-d4e3-44ec-a099-7fcfc921b07f,5
ConEd,82b63779-c280-44f5-afb0-6b71f5dcbda5,5
NIMO,428cf0d0-313b-42eb-8f13-5f65fd295ce8,5
NYSEG,5443aa1e-f76f-4ed3-a52b-8a00ae73e5d4,5
OR,a8deb4bc-26c6-40b1-b131-1b49941d4619,5
RGE,ff483c7d-47b6-4c6d-8dba-ad494cf7fb87,5
CGE,c9367b80-3bcd-4479-821d-7919806acf9a,5
DPL,79cb0f7b-746b-427d-a08f-cda5e1ae6627,5
CS,a637c168-a05e-4a2e-a7d6-4a6a23b2a574,5
OPCO,9352609b-74bb-467d-939f-545c745e182a,5
DEOK,99ab594f-275d-4bb6-932b-7d3fcc68f241,5
FE_OH,c4a18ba3-a2ac-4881-b34e-8ce0777c3590,5
WPP,ffadd81e-455a-476a-a6f1-3655a6ad9f92,5
DUQ,96bf396d-96b9-4d36-a093-8dd8f52185ab,5
METED,b8299427-d235-4e0a-b4e0-0caa9f5ad10d,5
PENELEC,b2dd80d4-e71d-411e-b1b6-852d24c0829d,5
PENNP,0a6bdea2-16c4-4acc-8962-ac98005ee67a,5
